scene,variant,frame_id,translation_error_aligned,rotation_error_deg_aligned
scene0000_00,H200(Z200),0,0.048510739704841224,2.583589423438102
scene0000_00,H200(Z200),22,0.0906303788718023,3.1415956337506845
scene0000_00,H200(Z200),55,0.0861717357773702,3.5738660642738
scene0000_00,H200(Z200),78,0.10012775008499301,3.3986375947645517
scene0000_00,H200(Z200),111,0.11355831245519553,3.120816709476134
scene0000_00,H200(Z200),134,0.12367366118557058,4.1423161413261615
scene0000_00,H200(Z200),167,0.07389488394639762,2.742430845036403
scene0000_00,H200(Z200),189,0.0647659895560594,2.9928528789590616
scene0000_00,H200(Z200),223,0.08655037237344189,3.162313316025186
scene0000_00,H200(Z200),245,0.1015237164908987,3.506039157249754
scene0000_00,H200(Z200),279,0.10967435132659178,2.5983278162118286
scene0000_00,H200(Z200),301,0.1281201405724853,3.293199398726931
scene0000_00,H200(Z200),335,0.09653525725027426,3.5818949734759267
scene0000_00,H200(Z200),357,0.03948266576751912,3.606032936700014
scene0000_00,H200(Z200),391,0.04847621378906211,3.595175024861544
scene0000_00,H200(Z200),413,0.05588979815090312,3.6448001199452382
scene0000_00,H200(Z200),447,0.1130847825184684,3.3071380550146987
scene0000_00,H200(Z200),469,0.06389945630220464,3.228772654369323
scene0000_00,H200(Z200),502,0.060231939124891554,2.7775763286477573
scene0000_00,H200(Z200),525,0.040968146420331863,3.1368718703045553
scene0000_00,H200(Z200),558,0.08723749918612515,3.2632504414722767
scene0000_00,H200(Z200),581,0.1106350652030977,3.675029957882039
scene0000_00,H200(Z200),614,0.08117406075282836,3.2717947460336507
scene0000_00,H200(Z200),637,0.10174058895250042,3.6879203504155527
scene0000_00,H200(Z200),670,0.04214795348846575,3.058227303818512
scene0000_00,H200(Z200),692,0.0858961288508293,3.39022762707323
scene0000_00,H200(Z200),726,0.08053235839515878,3.296848661184472
scene0000_00,H200(Z200),748,0.11291894107574327,3.430629139913479
scene0000_00,H200(Z200),782,0.08904407929357633,3.2957842915973594
scene0000_00,H200(Z200),804,0.11634472364053476,3.2741902216861303
scene0000_00,H200(Z200),838,0.14473821215384636,3.407126235835507
scene0000_00,H200(Z200),860,0.1321863518445254,3.627062602265843
scene0000_00,H200(Z200),894,0.09566877520697258,2.9845220457287867
scene0000_00,H200(Z200),916,0.07706474596672132,2.910015858919292
scene0000_00,H200(Z200),949,0.0837871238701752,2.6705810768117733
scene0000_00,H200(Z200),972,0.08445671486274918,1.9738769848283912
scene0000_00,H200(Z200),1005,0.05723309396057708,2.6935704134091965
scene0000_00,H200(Z200),1028,0.03744900062230059,2.4457546865882565
scene0000_00,H200(Z200),1061,0.03963793626776957,2.3676248063811296
scene0000_00,H200(Z200),1084,0.10804069042876316,3.287761819873374
scene0000_00,H200(Z200),1117,0.05756678758804783,1.9450662283877396
scene0000_00,H200(Z200),1139,0.08085951006354496,1.9760531239515047
scene0000_00,H200(Z200),1173,0.0786128999274406,1.717678005184669
scene0000_00,H200(Z200),1195,0.06439039044110335,1.0038154535249233
scene0000_00,H200(Z200),1229,0.07183477035110522,1.9311941990061654
scene0000_00,H200(Z200),1251,0.09751286773311207,1.436026997434099
scene0000_00,H200(Z200),1285,0.08609041910509493,3.2636238803604876
scene0000_00,H200(Z200),1307,0.15752369991085988,1.7562551053772242
scene0000_00,H200(Z200),1341,0.05478327819714829,0.6372232916477018
scene0000_00,H200(Z200),1363,0.07937726033825779,2.6667654646950094
scene0000_00,H200(Z200),1397,0.21331716099573825,3.891262641712868
scene0000_00,H200(Z200),1419,0.3891663738295676,5.966280476055265
scene0000_00,H200(Z200),1452,0.3986998189058376,7.642165465560608
scene0000_00,H200(Z200),1475,0.28747132789592544,4.747603860708974
scene0000_00,H200(Z200),1508,0.2707683131137213,4.74254003491198
scene0000_00,H200(Z200),1531,0.18647231963377373,2.7999107192919395
scene0000_00,H200(Z200),1564,0.35649768368762297,7.241897671524478
scene0000_00,H200(Z200),1587,0.26255938732667505,5.2718451155460535
scene0000_00,H200(Z200),1620,0.20698953302330889,8.018667839119326
scene0000_00,H200(Z200),1642,0.41005933679349815,7.714965365866885
scene0000_00,H200(Z200),1676,0.03025081256031751,2.4481036124873223
scene0000_00,H200(Z200),1698,0.17047510080969275,3.301792328324766
scene0000_00,H200(Z200),1732,0.0793556996333115,3.674892295442691
scene0000_00,H200(Z200),1754,0.04725105155235525,1.5883367248238265
scene0000_00,H200(Z200),1788,0.2741947213804257,2.1186394668188897
scene0000_00,H200(Z200),1810,0.30571847959868914,2.7748544251257634
scene0000_00,H200(Z200),1844,0.31993516911400227,3.9834789699924196
scene0000_00,H200(Z200),1877,0.24988995549051768,2.4580785490846915
scene0000_00,H200(Z200),1899,0.14103808575373641,1.8657273189730719
scene0000_00,H200(Z200),1933,0.22602160594309595,2.9639928113948972
scene0000_00,H200(Z200),1955,0.23846260548012077,2.81946600198614
scene0000_00,H200(Z200),1989,0.2688564271928363,3.585544355449351
scene0000_00,H200(Z200),2011,0.25161994785172404,3.6680548517992206
scene0000_00,H200(Z200),2045,0.26645871036313545,3.8638038506502164
scene0000_00,H200(Z200),2067,0.2401587549399932,3.357468509719796
scene0000_00,H200(Z200),2101,0.2381275639535999,2.8895067839178803
scene0000_00,H200(Z200),2123,0.22668728725112997,2.5539613097238036
scene0000_00,H200(Z200),2157,0.13476960498528878,2.413482950091997
scene0000_00,H200(Z200),2179,0.11224760745299342,2.810657065835279
scene0000_00,H200(Z200),2212,0.08668474593337536,2.8674714087078823
scene0000_00,H200(Z200),2235,0.05530072960534063,3.289437771792259
scene0000_00,H200(Z200),2268,0.06434047167932719,2.7763760415017735
scene0000_00,H200(Z200),2291,0.08968840152810681,2.572844332228141
scene0000_00,H200(Z200),2324,0.09670812858209178,2.909370587306725
scene0000_00,H200(Z200),2347,0.1392500287727323,1.598800102669513
scene0000_00,H200(Z200),2380,0.18215508670799482,2.311137637212983
scene0000_00,H200(Z200),2402,0.16581304020038298,2.016474390209849
scene0000_00,H200(Z200),2436,0.1313990275608302,2.7226807189522293
scene0000_00,H200(Z200),2458,0.18623219499820023,3.3399170560476317
scene0000_00,H200(Z200),2492,0.16096748569763,3.672813103493706
scene0000_00,H200(Z200),2514,0.20538689805285718,3.900970837270917
scene0000_00,H200(Z200),2548,0.2250920132205499,3.3008591208195637
scene0000_00,H200(Z200),2570,0.30526884407730887,3.335680280253182
scene0000_00,H200(Z200),2604,0.18057503025974306,2.7470395945636867
scene0000_00,H200(Z200),2626,0.17629504868543963,2.791699450583818
scene0000_00,H200(Z200),2659,0.17215568401447084,2.130034884571444
scene0000_00,H200(Z200),2682,0.13123207319956737,2.9195641452289465
scene0000_00,H200(Z200),2715,0.21212441607380197,3.0817437762698963
scene0000_00,H200(Z200),2738,0.19985607138461345,2.394495056903372
scene0000_00,H200(Z200),2771,0.3461232891289093,2.8571942275068585
scene0000_00,H200(Z200),2794,0.4984200718105388,3.2072143514581457
scene0000_00,H200(Z200),2827,0.15245542477705293,3.2920307355718963
scene0000_00,H200(Z200),2849,0.15898277191450713,3.275965790329713
scene0000_00,H200(Z200),2883,0.024573125504105814,2.8831469876926215
scene0000_00,H200(Z200),2905,0.16483525931546522,5.038200480790899
scene0000_00,H200(Z200),2939,0.1979678656048426,0.9364870367222397
scene0000_00,H200(Z200),2961,0.2390083311066062,1.8453234782487602
scene0000_00,H200(Z200),2995,0.2999390055987261,1.7494491280123814
scene0000_00,H200(Z200),3017,0.2448177724430225,1.5580259378759593
scene0000_00,H200(Z200),3051,0.09152862225533358,1.628025251308873
scene0000_00,H200(Z200),3073,0.06278164828331885,1.2478347731012478
scene0000_00,H200(Z200),3107,0.27866534104385615,5.111343018982416
scene0000_00,H200(Z200),3129,0.2829974450942394,10.06149465591437
scene0000_00,H200(Z200),3162,0.28094080857157055,13.107104838114166
scene0000_00,H200(Z200),3185,0.2757450439994233,12.563520012081124
scene0000_00,H200(Z200),3218,0.1693843608466701,1.4192750584524816
scene0000_00,H200(Z200),3241,0.1067882468595862,2.4499850183418355
scene0000_00,H200(Z200),3274,0.022824399024089215,2.693557752266807
scene0000_00,H200(Z200),3297,0.022907315760990858,3.033382761720431
scene0000_00,H200(Z200),3330,0.09716236760661727,3.140916129904086
scene0000_00,H200(Z200),3352,0.08755994086227505,2.772082323510679
scene0000_00,H200(Z200),3386,0.057463897613116995,2.692659492186596
scene0000_00,H200(Z200),3408,0.03167280245678537,2.7637234345240804
scene0000_00,H200(Z200),3442,0.039801504700433435,3.348805681819324
scene0000_00,H200(Z200),3464,0.04668739863701993,3.9559422244576594
scene0000_00,H200(Z200),3498,0.06616908800734098,3.2240347867837063
scene0000_00,H200(Z200),3520,0.12202229273435877,3.653931767885319
scene0000_00,H200(Z200),3554,0.11587066381781086,2.8175418843497853
scene0000_00,H200(Z200),3576,0.06749417458867564,2.5825640631698263
scene0000_00,H200(Z200),3609,0.05758779456476087,2.001096005591545
scene0000_00,H200(Z200),3632,0.1023353691526341,1.323819662929085
scene0000_00,H200(Z200),3665,0.06344759022990733,2.527576329217624
scene0000_00,H200(Z200),3688,0.08913737888670689,2.2786108558767086
scene0000_00,H200(Z200),3721,0.05414790319548877,1.8986084821963405
scene0000_00,H200(Z200),3755,0.09753002121880827,1.1797508717267302
scene0000_00,H200(Z200),3777,0.17987248476192885,2.8290086775333267
scene0000_00,H200(Z200),3811,0.2606168710074549,2.4638375912623762
scene0000_00,H200(Z200),3833,0.2372025815900534,2.155894786010763
scene0000_00,H200(Z200),3867,0.1793911768303006,5.287622453780541
scene0000_00,H200(Z200),3889,0.16666428314887774,3.885859757001131
scene0000_00,H200(Z200),3922,0.3076045396872672,2.7819809020589648
scene0000_00,H200(Z200),3945,0.37523768240406513,2.0244461165876273
scene0000_00,H200(Z200),3978,0.42337162005764944,8.963952254703912
scene0000_00,H200(Z200),4001,0.6497327120204722,10.437132821880288
scene0000_00,H200(Z200),4034,0.4408872745711172,5.207795436663341
scene0000_00,H200(Z200),4057,0.1812616678696139,3.3733838328033574
scene0000_00,H200(Z200),4090,0.1355229058132673,3.1348759695873976
scene0000_00,H200(Z200),4112,0.09385848941238216,2.251212479068029
scene0000_00,H200(Z200),4146,0.06681359932167752,1.7838387700869631
scene0000_00,H200(Z200),4168,0.0337515401361335,1.3897970640613233
scene0000_00,H200(Z200),4202,0.052672935834623257,1.0676178853177858
scene0000_00,H200(Z200),4224,0.19735356485407834,4.40592175243036
scene0000_00,H200(Z200),4258,0.4784642304646084,9.715323411838494
scene0000_00,H200(Z200),4280,0.2630490509497716,4.431579484895537
scene0000_00,H200(Z200),4314,0.17164705639873137,2.6308291900372605
scene0000_00,H200(Z200),4336,0.18959082980098546,3.2350724657416943
scene0000_00,H200(Z200),4369,0.13107328211735503,2.9378582242439375
scene0000_00,H200(Z200),4392,0.23609380216877096,6.384737305541477
scene0000_00,H200(Z200),4425,0.15391714104901508,3.2149864247108684
scene0000_00,H200(Z200),4448,0.13268280816943376,3.359779130888828
scene0000_00,H200(Z200),4481,0.17631791013006348,1.9740543693169978
scene0000_00,H200(Z200),4504,0.19443384744952388,4.855587858697448
scene0000_00,H200(Z200),4537,0.17269904391809077,6.629500011998022
scene0000_00,H200(Z200),4559,0.24080784640438097,7.096640330975826
scene0000_00,H200(Z200),4593,0.06250934655476575,2.994628045376977
scene0000_00,H200(Z200),4615,0.21146177464204483,4.65760765978049
scene0000_00,H200(Z200),4649,0.21185538237800067,5.8101843472426555
scene0000_00,H200(Z200),4671,0.09491844379695756,11.236034449267887
scene0000_00,H200(Z200),4705,0.14028412089216286,17.805934945519
scene0000_00,H200(Z200),4727,0.23582470413180162,18.49791080997945
scene0000_00,H200(Z200),4761,0.2466016810563593,2.7221000491880107
scene0000_00,H200(Z200),4783,0.3424062633331655,20.715494266480327
scene0000_00,H200(Z200),4817,0.12794160977168664,14.719853654126318
scene0000_00,H200(Z200),4839,0.1534518997079981,2.349161383821756
scene0000_00,H200(Z200),4872,0.14087574481608708,5.271227510313814
scene0000_00,H200(Z200),4895,0.3254794561426747,5.492255090363155
scene0000_00,H200(Z200),4928,0.2930267212560697,3.9083940907589256
scene0000_00,H200(Z200),4951,0.41197626220841743,2.443097920871364
scene0000_00,H200(Z200),4984,0.4308379209496668,2.3361302898444642
scene0000_00,H200(Z200),5007,0.15606290091657254,4.8885739979471055
scene0000_00,H200(Z200),5040,0.09735756880139822,3.6145371990726205
scene0000_00,H200(Z200),5062,0.08575946903131976,4.147180630933646
scene0000_00,H200(Z200),5096,0.09625748136503653,2.9867770027195943
scene0000_00,H200(Z200),5118,0.11136314249154743,2.979778745535372
scene0000_00,H200(Z200),5152,0.08516423861973633,2.497494322874586
scene0000_00,H200(Z200),5174,0.14070401249402714,2.66627048619032
scene0000_00,H200(Z200),5208,0.13830160566846855,2.746182725444027
scene0000_00,H200(Z200),5230,0.10693513829169264,2.688921279285042
scene0000_00,H200(Z200),5264,0.1813537797584726,3.328905443395771
scene0000_00,H200(Z200),5286,0.20272443934671702,3.111864557996972
scene0000_00,H200(Z200),5319,0.2375913372796653,2.6343127648442746
scene0000_00,H200(Z200),5342,0.2509154588156123,3.0373451824849584
scene0000_00,H200(Z200),5375,0.2179581843877684,2.9227506549362183
scene0000_00,H200(Z200),5398,0.21304290542328555,3.2478971127880913
scene0000_00,H200(Z200),5431,0.22229404667967245,2.4044626880261495
scene0000_00,H200(Z200),5454,0.1960357019218867,2.207673994937574
scene0000_00,H200(Z200),5487,0.12931426426083484,2.711820946548641
scene0000_00,H200(Z200),5509,0.12463983177467626,2.8216086952522357
scene0000_00,H200(Z200),5543,0.08151272444192252,2.706431316337743
scene0000_00,H200(Z200),5577,0.04676324494361353,3.5634777075916344
scene0000_00,H200(Z500_shared),0,1.2719569902773908,26.28676990748164
scene0000_00,H200(Z500_shared),22,1.2869877008347614,27.582685335161006
scene0000_00,H200(Z500_shared),55,1.1902553775091338,27.426724509372498
scene0000_00,H200(Z500_shared),78,1.144674940187442,27.54707577311394
scene0000_00,H200(Z500_shared),111,1.1518720189862082,27.691051345909877
scene0000_00,H200(Z500_shared),134,1.2072233957159206,28.28926986197102
scene0000_00,H200(Z500_shared),167,1.2462940303071133,27.285030463162144
scene0000_00,H200(Z500_shared),189,1.2317756044920098,28.585810207678147
scene0000_00,H200(Z500_shared),223,1.2891896014903539,27.436288337950312
scene0000_00,H200(Z500_shared),245,1.4380439939265441,27.664853521828054
scene0000_00,H200(Z500_shared),279,1.6383763044663846,23.533798077080096
scene0000_00,H200(Z500_shared),301,1.6010889015779466,26.960631580300635
scene0000_00,H200(Z500_shared),335,1.249905267877936,29.60642500751216
scene0000_00,H200(Z500_shared),357,1.2251564138807691,28.584211816716163
scene0000_00,H200(Z500_shared),391,1.4329024654099998,30.580489731026752
scene0000_00,H200(Z500_shared),413,1.5916818282890615,27.224340901214706
scene0000_00,H200(Z500_shared),447,1.3639115520063005,28.850303897301394
scene0000_00,H200(Z500_shared),469,1.344371313177374,27.41507701312056
scene0000_00,H200(Z500_shared),502,1.4610903699205535,27.67394833526576
scene0000_00,H200(Z500_shared),525,1.2389439095893864,32.19914786605338
scene0000_00,H200(Z500_shared),558,1.1122089451034154,30.97996352809054
scene0000_00,H200(Z500_shared),581,1.0698364830824545,29.651542205351817
scene0000_00,H200(Z500_shared),614,1.094590123722667,27.074876477159208
scene0000_00,H200(Z500_shared),637,1.2221222841821777,29.104129303421253
scene0000_00,H200(Z500_shared),670,1.206268985486319,33.40887112865531
scene0000_00,H200(Z500_shared),692,1.0395831469928676,30.328118834296163
scene0000_00,H200(Z500_shared),726,0.9165034390276813,31.66920206061569
scene0000_00,H200(Z500_shared),748,0.8458825012456516,30.343682900624984
scene0000_00,H200(Z500_shared),782,0.9013359588877625,31.00043911459198
scene0000_00,H200(Z500_shared),804,0.8374398530022954,30.833090083633742
scene0000_00,H200(Z500_shared),838,0.6812728437555332,34.56266340350802
scene0000_00,H200(Z500_shared),860,0.6817020045911165,33.06156090414291
scene0000_00,H200(Z500_shared),894,0.8755071996298365,40.74376726654822
scene0000_00,H200(Z500_shared),916,0.9756394045239305,37.696825239163175
scene0000_00,H200(Z500_shared),949,1.2915899541485123,37.28297526368772
scene0000_00,H200(Z500_shared),972,1.3899294927719013,40.00175458261418
scene0000_00,H200(Z500_shared),1005,1.1552625296057566,36.801935174063814
scene0000_00,H200(Z500_shared),1028,1.069145157253443,40.16240339544234
scene0000_00,H200(Z500_shared),1061,0.7599883624207056,41.35084230369758
scene0000_00,H200(Z500_shared),1084,0.8904708196422308,37.6323425649371
scene0000_00,H200(Z500_shared),1117,0.6021892327644861,43.42817161178093
scene0000_00,H200(Z500_shared),1139,0.5097760305642949,30.68297957836509
scene0000_00,H200(Z500_shared),1173,0.2300626589967325,33.77199460109252
scene0000_00,H200(Z500_shared),1195,0.6051816309503384,34.278557638104346
scene0000_00,H200(Z500_shared),1229,0.5462366221448838,40.26045653559148
scene0000_00,H200(Z500_shared),1251,0.6359300329357349,43.52620350019126
scene0000_00,H200(Z500_shared),1285,0.32393621061912675,69.3952582642363
scene0000_00,H200(Z500_shared),1307,0.044268850483631585,82.09519094329269
scene0000_00,H200(Z500_shared),1341,0.440722865480129,30.212631656406298
scene0000_00,H200(Z500_shared),1363,1.6296754681519197,7.777312012121179
scene0000_00,H200(Z500_shared),1397,1.5474828132835963,44.31976900169246
scene0000_00,H200(Z500_shared),1419,3.3506046105433085,83.34179253258115
scene0000_00,H200(Z500_shared),1452,2.635419646483436,47.88558904518365
scene0000_00,H200(Z500_shared),1475,2.099914795621195,59.75397141578453
scene0000_00,H200(Z500_shared),1508,1.9165926523601977,41.889881206053225
scene0000_00,H200(Z500_shared),1531,3.0152222362785106,54.302284554462574
scene0000_00,H200(Z500_shared),1564,3.1972492618565216,75.48710872990148
scene0000_00,H200(Z500_shared),1587,2.5013352682413474,147.04435682440973
scene0000_00,H200(Z500_shared),1620,2.2565932013842116,44.368245667762096
scene0000_00,H200(Z500_shared),1642,2.0816064802734147,23.201535948929603
scene0000_00,H200(Z500_shared),1676,1.4667679931011848,34.44140894750144
scene0000_00,H200(Z500_shared),1698,1.4929010087289245,48.50723617738065
scene0000_00,H200(Z500_shared),1732,1.5376040390186512,50.698133503540866
scene0000_00,H200(Z500_shared),1754,1.5486473392658218,46.41670611563397
scene0000_00,H200(Z500_shared),1788,1.6391040606520804,41.83410215015481
scene0000_00,H200(Z500_shared),1810,1.4603397776946465,40.950304559730284
scene0000_00,H200(Z500_shared),1844,1.5142182602679854,42.65337464560776
scene0000_00,H200(Z500_shared),1877,0.9719892438921605,20.336096803001492
scene0000_00,H200(Z500_shared),1899,0.2334203953148405,4.682669259448172
scene0000_00,H200(Z500_shared),1933,0.7319262270057089,16.280312619435936
scene0000_00,H200(Z500_shared),1955,0.8918214473309782,16.40643319172276
scene0000_00,H200(Z500_shared),1989,1.2019572622679155,21.49987825208357
scene0000_00,H200(Z500_shared),2011,1.2457435533011356,23.746304021380677
scene0000_00,H200(Z500_shared),2045,1.2629471145074405,25.475022011733614
scene0000_00,H200(Z500_shared),2067,1.2702936268079412,26.600225480714073
scene0000_00,H200(Z500_shared),2101,1.1724000964114438,26.873153083598975
scene0000_00,H200(Z500_shared),2123,1.1010656684835602,25.932433424766256
scene0000_00,H200(Z500_shared),2157,1.082628322847931,25.496436878405643
scene0000_00,H200(Z500_shared),2179,1.02716648270673,26.456123619946183
scene0000_00,H200(Z500_shared),2212,1.0231758005102074,27.709446431322345
scene0000_00,H200(Z500_shared),2235,0.9914987729885811,29.70110317232276
scene0000_00,H200(Z500_shared),2268,1.059495904372038,29.087598415055112
scene0000_00,H200(Z500_shared),2291,1.1493278156726099,27.05459564852429
scene0000_00,H200(Z500_shared),2324,1.299821940802585,25.324954104270585
scene0000_00,H200(Z500_shared),2347,1.2140818845591732,24.97418488868071
scene0000_00,H200(Z500_shared),2380,1.347279104031426,25.512467179211384
scene0000_00,H200(Z500_shared),2402,1.2773288908284215,25.448885061989444
scene0000_00,H200(Z500_shared),2436,1.2946979594995986,23.11346437897864
scene0000_00,H200(Z500_shared),2458,1.261261904018908,24.19890847659864
scene0000_00,H200(Z500_shared),2492,1.1374764147060126,27.234563758431477
scene0000_00,H200(Z500_shared),2514,1.0309819941170235,28.0014731473559
scene0000_00,H200(Z500_shared),2548,0.9805959056616006,21.92331248073228
scene0000_00,H200(Z500_shared),2570,0.9643960108914527,20.38880853330041
scene0000_00,H200(Z500_shared),2604,1.005243448369537,21.265878991892347
scene0000_00,H200(Z500_shared),2626,1.0279086704504028,21.44845726363814
scene0000_00,H200(Z500_shared),2659,1.005403796368892,15.277560499603593
scene0000_00,H200(Z500_shared),2682,0.9911029209604929,14.495430227342407
scene0000_00,H200(Z500_shared),2715,0.9597139765256871,15.195181340118262
scene0000_00,H200(Z500_shared),2738,0.9063095993342177,14.168740386888691
scene0000_00,H200(Z500_shared),2771,0.8124304077107847,10.855878149090477
scene0000_00,H200(Z500_shared),2794,0.4985511287182974,2.793531161962409
scene0000_00,H200(Z500_shared),2827,0.46573465505669887,2.3060989134398304
scene0000_00,H200(Z500_shared),2849,0.47465631146252074,1.5613717227155415
scene0000_00,H200(Z500_shared),2883,0.5069478768667846,5.46668033980562
scene0000_00,H200(Z500_shared),2905,0.21832395192732246,10.478731525204836
scene0000_00,H200(Z500_shared),2939,0.5264594710774868,17.124444524680538
scene0000_00,H200(Z500_shared),2961,0.5415025215986504,21.659007010554426
scene0000_00,H200(Z500_shared),2995,0.9051251034248736,2.212036329606934
scene0000_00,H200(Z500_shared),3017,0.9245020420004244,30.280356723895608
scene0000_00,H200(Z500_shared),3051,0.6412903436527059,31.919570731611298
scene0000_00,H200(Z500_shared),3073,0.7742374941058741,29.946712855406894
scene0000_00,H200(Z500_shared),3107,0.7635510018465564,30.147382840042873
scene0000_00,H200(Z500_shared),3129,0.7520272899075279,16.60166396451303
scene0000_00,H200(Z500_shared),3162,0.5459669001134777,5.734048577148479
scene0000_00,H200(Z500_shared),3185,0.4985671826989888,7.293229030205299
scene0000_00,H200(Z500_shared),3218,0.7635818632285802,31.806582488208264
scene0000_00,H200(Z500_shared),3241,0.5055657543990422,29.906027336415086
scene0000_00,H200(Z500_shared),3274,0.45468063483501986,28.437059305169
scene0000_00,H200(Z500_shared),3297,0.36043350402723223,28.418068276550674
scene0000_00,H200(Z500_shared),3330,0.3726060361112194,28.124122757255783
scene0000_00,H200(Z500_shared),3352,0.4959422555237061,26.977790363821597
scene0000_00,H200(Z500_shared),3386,0.729844336286493,27.881036071570794
scene0000_00,H200(Z500_shared),3408,0.8110169272693861,28.94290287657899
scene0000_00,H200(Z500_shared),3442,0.8789867192677195,31.821396475085603
scene0000_00,H200(Z500_shared),3464,1.0606498532292106,30.834701518406817
scene0000_00,H200(Z500_shared),3498,1.1445170745598614,31.050873493755397
scene0000_00,H200(Z500_shared),3520,1.0856980112495807,37.994814758240956
scene0000_00,H200(Z500_shared),3554,0.8357950491223394,39.53216084153531
scene0000_00,H200(Z500_shared),3576,0.530875481315556,36.00120336179989
scene0000_00,H200(Z500_shared),3609,0.4451275168566573,44.088007897811835
scene0000_00,H200(Z500_shared),3632,0.13594675900903488,54.18284416141396
scene0000_00,H200(Z500_shared),3665,0.21789003099145285,69.42409079098273
scene0000_00,H200(Z500_shared),3688,0.28714654790091565,59.05974412623031
scene0000_00,H200(Z500_shared),3721,0.873202236079998,52.89804600314013
scene0000_00,H200(Z500_shared),3755,1.3563182626734274,57.81870295909322
scene0000_00,H200(Z500_shared),3777,1.701787213624997,74.81583259929059
scene0000_00,H200(Z500_shared),3811,0.7577274595671237,91.02419450603695
scene0000_00,H200(Z500_shared),3833,2.565385263704269,22.992690399968506
scene0000_00,H200(Z500_shared),3867,2.4164167559562104,52.35245420869491
scene0000_00,H200(Z500_shared),3889,2.2962869255335203,79.27455321665371
scene0000_00,H200(Z500_shared),3922,1.6700397786619718,103.06524089672568
scene0000_00,H200(Z500_shared),3945,1.8611177629866096,136.5011032364899
scene0000_00,H200(Z500_shared),3978,1.9052111553453879,141.93446515646662
scene0000_00,H200(Z500_shared),4001,1.690710909605679,143.14372750484043
scene0000_00,H200(Z500_shared),4034,1.587978372527444,139.91712472183164
scene0000_00,H200(Z500_shared),4057,2.7070423480251278,65.24962958825445
scene0000_00,H200(Z500_shared),4090,2.4437761665957902,56.99490261166217
scene0000_00,H200(Z500_shared),4112,2.0453544431089097,42.368840195700976
scene0000_00,H200(Z500_shared),4146,1.2644137051935216,46.6604382266938
scene0000_00,H200(Z500_shared),4168,0.6878282859731066,59.34662552180978
scene0000_00,H200(Z500_shared),4202,0.06581388362476169,41.73060056711951
scene0000_00,H200(Z500_shared),4224,1.4377450144976107,4.652577965542484
scene0000_00,H200(Z500_shared),4258,2.2051841732322113,34.3505819411852
scene0000_00,H200(Z500_shared),4280,1.5844046737404647,39.1265214279273
scene0000_00,H200(Z500_shared),4314,1.4232610023887926,47.283982563622935
scene0000_00,H200(Z500_shared),4336,1.363403009622547,45.50134104395541
scene0000_00,H200(Z500_shared),4369,1.3444600400909246,42.57522385346178
scene0000_00,H200(Z500_shared),4392,1.5930054543468508,37.07664040260931
scene0000_00,H200(Z500_shared),4425,1.3984561845093535,39.00534846741829
scene0000_00,H200(Z500_shared),4448,1.5614929872292582,38.3181730749337
scene0000_00,H200(Z500_shared),4481,1.5424573987606531,36.10748184792785
