scene,frame_count_actual,sampling,inference_time_ms,depth_absrel_aligned,depth_absrel_raw,depth_delta1_aligned,depth_median_scale,depth_rmse_aligned,depth_rmse_raw,depth_valid_frames,frame_count_requested,image_height,image_width,pcd_gt_depth_gt_pose_bbox_scale,pcd_gt_depth_gt_pose_chamfer_aligned,pcd_gt_depth_gt_pose_chamfer_raw,pcd_gt_depth_gt_pose_points,pcd_gt_depth_pred_pose_bbox_scale,pcd_gt_depth_pred_pose_chamfer_aligned,pcd_gt_depth_pred_pose_chamfer_raw,pcd_gt_depth_pred_pose_points,pcd_native_world_points_bbox_scale,pcd_native_world_points_chamfer_aligned,pcd_native_world_points_chamfer_raw,pcd_native_world_points_points,pcd_pred_depth_gt_pose_bbox_scale,pcd_pred_depth_gt_pose_chamfer_aligned,pcd_pred_depth_gt_pose_chamfer_raw,pcd_pred_depth_gt_pose_points,pcd_pred_depth_pred_pose_bbox_scale,pcd_pred_depth_pred_pose_chamfer_aligned,pcd_pred_depth_pred_pose_chamfer_raw,pcd_pred_depth_pred_pose_points,pose_are_max_deg_aligned,pose_are_mean_deg_aligned,pose_ate_max_aligned,pose_ate_mean_aligned,pose_ate_rmse_aligned,pose_rpe_rot_mean_deg,pose_rpe_trans_mean_aligned,pose_sim3_scale
scene0000_00,100.0,prefix,14852.165937423706,0.013010449092835188,0.47031950324773786,0.998531568440584,1.8851478850841523,0.044254742283374074,0.9007924908399582,100.0,100.0,518.0,518.0,3.0542209148406982,0.8430653200603102,0.49240112268260644,200000.0,3.168895867922485,0.8126204520957446,0.5203389757786644,200000.0,5.793617321616037,0.8702275814805431,0.9996935268955214,200000.0,5.404942035675049,0.8166472537955815,0.999742476316035,200000.0,5.93740906885725,0.8575145067331343,0.9995749163403644,200000.0,7.071468778525145,6.065003920226308,0.04463973269790452,0.016193075909972196,0.017628196985588356,0.16823042870893093,0.003692408333351935,1.858386613057019
scene0000_00,200.0,prefix,50192.976236343384,0.014706057971343398,0.5076345226168633,0.9984708531769013,2.030633313655853,0.048841298008337614,1.041561026275158,200.0,200.0,518.0,518.0,2.518130302429199,0.8273486579834544,0.47529839873206314,200000.0,2.631648392366947,0.7954760849164604,0.5116748113621784,200000.0,5.074597220413422,0.8490354408503578,1.0,200000.0,4.4999613761901855,0.7922247617686399,0.999986207932125,200000.0,5.112009314375724,0.8357765822682772,0.9999999828350836,200000.0,9.260678519413197,7.835841067161115,0.06481960176192143,0.023554769699908246,0.026391053401216457,0.1910333267710628,0.004339426720459533,2.136392576596731
scene0000_00,300.0,prefix,107440.60349464417,0.013508086567744612,0.5235868924856186,0.9970972024701112,2.0963967100779217,0.052786531740178666,1.0576819497346879,300.0,300.0,518.0,518.0,2.460632562637329,0.8008070607904265,0.4793424304966532,200000.0,2.564200059045786,0.7475523362334542,0.5366461481546904,200000.0,5.115311808217066,0.8362995679740339,0.9999797792049169,200000.0,3.855010509490967,0.7339342703333711,0.9809998504799781,200000.0,5.197946044563026,0.8191553945330448,1.0,200000.0,8.618162518424333,6.906858907781169,0.05948812373647193,0.022809845746613634,0.025244919356289548,0.17638938211574118,0.004080062294355149,2.1137821545730264
scene0000_00,400.0,prefix,189576.34949684143,0.014630797770805656,0.5340213738381863,0.9964712903093033,2.1446327859163286,0.057522862288169566,1.0838133181631564,400.0,400.0,518.0,518.0,2.1032674312591553,0.7679586637501855,0.47725064633343933,200000.0,2.04392172153663,0.7297406398089352,0.5327225683683383,200000.0,4.5525862090884095,0.7847291400788103,0.9997357866022643,200000.0,3.8656859397888184,0.6960483674629891,0.9782572965637943,200000.0,4.588452406740857,0.7770846813851213,0.9997895465531385,200000.0,3.522695017288712,1.8343770113085986,0.08045353824352677,0.03394871245841782,0.037822179823034166,0.17805005246403566,0.0039450990940484345,2.106660182515861
scene0000_00,500.0,prefix,295970.4737663269,0.01569008346647024,0.5459463659524918,0.9963847226933743,2.203244649887085,0.059918365761637685,1.1405144870281219,500.0,500.0,518.0,518.0,1.9273523092269897,0.8002177065223268,0.4625295417416055,200000.0,1.8574648055251652,0.7759272115934065,0.526522654930023,200000.0,4.3269224787954155,0.7992502576092391,0.9981990417077413,200000.0,3.9065709114074707,0.6794676321813877,0.9817297717252967,200000.0,4.3458253158042375,0.7924359642172654,0.9982073179248855,200000.0,4.322432011726871,2.8473197036499855,0.09309409165118228,0.041588356679438075,0.04491158880116711,0.2059894253171775,0.004816339306054096,2.1160161358910243
scene0013_02,100.0,prefix,14703.136444091797,0.023967134691774847,0.5414692598581314,0.9812694932580897,2.1764973974227906,0.24015289090573788,1.3161262583732605,100.0,100.0,518.0,518.0,0.7732483744621277,0.5892873087886996,0.33602055768280226,200000.0,0.7822484809835373,0.48910921189246526,0.3860066325133707,200000.0,1.4959634672179083,0.3896031204760032,0.7825777807900083,200000.0,1.511378526687622,0.36064821577307615,0.8256910626110212,200000.0,1.553244501516387,0.4046726449766221,0.7836451498024265,200000.0,1.655774906011035,0.9958978750070855,0.024432718843851457,0.009298359088630031,0.01006794788993404,0.10202707874988054,0.002542726148589768,2.1324959124627236
scene0013_02,200.0,prefix,50038.97953033447,0.025071808472275733,0.5573285534977913,0.9804525980205792,2.249486265182495,0.26375347215682265,1.4490093445777894,200.0,200.0,518.0,518.0,0.6763712763786316,0.560879258186555,0.2117599562334861,200000.0,0.7363621118394656,0.4056513106598316,0.3166452072790261,200000.0,1.3505286166016501,0.3717419703798326,0.8189174997439008,200000.0,1.22812819480896,0.3645651789369386,0.8510351199442201,200000.0,1.3436081908860413,0.3929471196432285,0.8208930068200104,200000.0,3.714211463921446,2.728553618358701,0.033880977909009125,0.016781834303819278,0.01806107778253955,0.1152093938382189,0.0026602860197891816,2.1634796883263188
scene0013_02,300.0,prefix,107888.24415206909,0.02347182110262414,0.5402532976865768,0.9825657028750303,2.1668606956799823,0.23958663788934548,1.3496779441833495,300.0,300.0,518.0,518.0,0.6624749302864075,0.41153951151826995,0.16470702411169075,200000.0,0.7087470238021836,0.33668259757765806,0.2774257209540692,200000.0,1.348276849398341,0.33831671763503324,0.8157409035277797,200000.0,1.1509188413619995,0.34162225682194164,0.8430462881881855,200000.0,1.3116569593911878,0.35340383567286615,0.8169588133177006,200000.0,3.0904140373562172,1.8072356916861596,0.05799838991675352,0.016862464164104866,0.01951621068320195,0.1247369861411049,0.003110529184553556,2.088834242830409
scene0013_02,400.0,prefix,189559.48638916016,0.022869572690688074,0.5287698529660702,0.9828932363360893,2.1165363574028015,0.25478610569611193,1.3550459280610085,400.0,400.0,518.0,518.0,0.6496725678443909,0.3678868272340379,0.1541559918014901,200000.0,0.6798106256219146,0.31492223344333364,0.2702728656455622,200000.0,1.2798706639059012,0.3237905642311101,0.7873032154226967,200000.0,1.1188204288482666,0.28236009243854754,0.838924878154868,200000.0,1.2656642491011056,0.321232883079249,0.7876053168742476,200000.0,3.245839467348299,2.2124310487092096,0.07649577708282644,0.026198892544870088,0.0305840015193705,0.13385754204787398,0.0032903277867559993,2.028822827260015
scene0013_02,500.0,prefix,296993.24655532837,0.02330948993563652,0.5568638409376144,0.9848425589630437,2.2566870398521424,0.23903787417709826,1.4690191469192504,500.0,500.0,518.0,518.0,0.6585338711738586,0.4693530262345782,0.14875861861629158,200000.0,0.6532728998961822,0.3372451259897514,0.2827849694770149,200000.0,1.3736745265865116,0.3223079759639923,0.796865720697896,200000.0,1.1972843408584595,0.24403297633614546,0.8459167483998866,200000.0,1.3965138189978294,0.30299081539931305,0.7962435778183736,200000.0,3.6028566745304516,1.9204808475391064,0.07824323380399623,0.025695405459513,0.03001225074620385,0.12904237607373628,0.0031831214505570553,2.204142534770844
scene0029_01,100.0,prefix,14752.26378440857,0.01553490904159844,0.12868927158415316,0.9925873071600677,1.1461873936653137,0.03976015966385603,0.14671235278248787,100.0,100.0,518.0,518.0,1.828784465789795,0.4443539528349732,0.34056112356407164,200000.0,1.864632045150192,0.4325890300344709,0.34761627830249053,200000.0,1.9915864744901255,0.4100297491117889,0.43078404434668915,200000.0,1.9804667234420776,0.40392141275179594,0.43166300663485957,200000.0,1.9942728630638464,0.4105165112224872,0.4319371663804642,200000.0,8.282607867666385,7.933607144522661,0.010143744702880817,0.005014406591384173,0.0053330839946551505,0.11029176917035588,0.001313662293999405,1.1068036683398632
scene0029_01,200.0,prefix,50033.504247665405,0.016570364963263272,0.10960144344717264,0.9950455497257272,1.1211345225572587,0.03520384334027767,0.1267520457878709,200.0,200.0,518.0,518.0,1.6718376874923706,0.42042531496052854,0.32588043888338886,200000.0,1.4313854661544045,0.5579389154679757,0.3517033400962883,200000.0,1.9462744412140673,0.3888539092761041,0.42670572980225846,200000.0,1.8833811283111572,0.38341032907674366,0.4173721416699232,200000.0,1.9327152604780828,0.38885012165410815,0.4236809943171269,200000.0,10.01159924990278,9.507051569135552,0.020151388910404824,0.010101311864196674,0.010857086842056668,0.10070268570848583,0.0015153283660021854,1.2251326076781772
scene0029_01,300.0,prefix,108156.4314365387,0.01599890299141407,0.1230269672969977,0.9957850124835007,1.1403352824846904,0.03195158878962199,0.1391110946983099,300.0,300.0,518.0,518.0,1.5129560232162476,0.4230843849617821,0.30270132581793846,200000.0,1.5938358887343365,0.4331985714580867,0.33267996783400877,200000.0,1.8393445615288397,0.3957268969166372,0.42367503881999563,200000.0,1.793829083442688,0.38860845518516896,0.41239319226477716,200000.0,1.8101147951862306,0.4062596666512607,0.4206672739836758,200000.0,9.54823244851016,8.39416636107384,0.02677148400162892,0.012835965040208812,0.013583178787694921,0.13296803091296197,0.0015856101753320916,1.0932290026325187
scene0029_01,400.0,prefix,190358.3266735077,0.012396819663699717,0.11379982121288776,0.9964949921171745,1.1276455575227737,0.027039792849682272,0.13101616755127907,400.0,400.0,518.0,518.0,1.5241219997406006,0.43105282388637,0.2668101408414252,200000.0,1.2581297900567832,0.5887713416463551,0.29496210281458707,200000.0,1.7443909647860425,0.38992742846315054,0.389041084280154,200000.0,1.7510685920715332,0.37244810865958644,0.3797322571036167,200000.0,1.7610682959272965,0.39652773342623204,0.3891506409239992,200000.0,3.6185725488853895,2.692357888732331,0.04939631512712833,0.017502302537606988,0.018764597014824604,0.14529398870540472,0.0021241712701253173,1.0943762037137599
scene0029_01,500.0,prefix,297501.9233226776,0.0110727725494653,0.06449619800969958,0.9970223343465368,1.06813900578022,0.02406843424215913,0.07662879960425198,500.0,500.0,518.0,518.0,1.418889045715332,0.41233251151476025,0.24818928473470198,200000.0,1.473315364209704,0.3988544789292751,0.28068522576955063,200000.0,1.563701895468542,0.36555930379967194,0.32598154919488587,200000.0,1.5115245580673218,0.34635589885396423,0.3085324571275741,200000.0,1.5557736463551632,0.3730428013475352,0.33044031807605523,200000.0,7.149945259309734,5.526552609621498,0.10664986290596276,0.027890358364842195,0.031720768088708676,0.19153973257544993,0.0029458302453654493,0.995022478598084
scene0042_02,100.0,prefix,14736.159086227417,0.01647181749343872,0.4109865352511406,0.9920016568046032,1.698522812128067,0.06894732456654311,0.6994194829463959,100.0,100.0,518.0,518.0,1.483731985092163,0.6297975292305832,0.29210650579740866,200000.0,1.540300156442612,0.6300982898037231,0.33358185879355745,200000.0,2.493874601432111,0.5793133304252637,0.7305114751612896,200000.0,2.4823169708251953,0.5425692894249701,0.758299686799401,200000.0,2.568727814568821,0.5709272416655474,0.7357914464365904,200000.0,7.798845033235018,7.400843673894759,0.017741675591798747,0.006921253600360845,0.007505228961250564,0.10685181774097006,0.001548326837065197,1.6125233170556637
scene0042_02,200.0,prefix,50029.67548370361,0.018377127880230545,0.4275894045829773,0.9879736600075358,1.747383587360382,0.09762493507936597,0.763735648393631,200.0,200.0,518.0,518.0,1.031762957572937,0.7981882663375582,0.2649528232193058,200000.0,1.0734355174968913,0.7863815221630077,0.3464786847728531,200000.0,2.5252860051944697,0.5112211397511179,0.7290503421461798,200000.0,2.3100972175598145,0.483789496080007,0.7742730107863104,200000.0,2.559927680065935,0.4962525975128894,0.7325257747429752,200000.0,5.441855398690164,4.938177289865766,0.028482025432833097,0.011953372689147874,0.013092032021455568,0.12245891785567802,0.0020280141310510726,1.7107733576472048
scene0042_02,300.0,prefix,107531.93306922913,0.021693848442907136,0.442858022749424,0.9842794237227895,1.7946180840333303,0.10443869757155577,0.7534977108240127,300.0,300.0,518.0,518.0,1.0302040576934814,0.800881917700486,0.25063867133004514,200000.0,1.0757455196053975,0.7890118913065234,0.36445089524714164,200000.0,2.4298173034524946,0.4610719667310176,0.707789312855881,200000.0,2.1750848293304443,0.5028481867339982,0.7429589932048359,200000.0,2.550830964944311,0.5145735648791245,0.7113264983930073,200000.0,5.314880924835264,4.510441953617065,0.03440169668412574,0.017114692877619013,0.018006756618678108,0.1405905638665913,0.002146635760564577,1.7999460156956046
scene0042_02,400.0,prefix,190874.29976463318,0.020030647802632303,0.4792445537447929,0.9850143172233442,1.920222265124321,0.10242816762067378,0.839528381973505,400.0,400.0,518.0,518.0,0.9528177976608276,0.8258324685210809,0.21804543661644304,200000.0,0.9721374358528448,0.7996890670919006,0.3329875861154347,200000.0,2.4989926308215864,0.4568968120199639,0.746901279892954,200000.0,2.2627904415130615,0.5065387512105867,0.7714211617443333,200000.0,2.542122965792843,0.5254503399637241,0.7496168323196859,200000.0,2.3369452598230085,1.587597580035413,0.06276074994367536,0.023016864564495466,0.025464427695422315,0.15464032065103922,0.0026816635334139484,1.9177542293269927
scene0042_02,500.0,prefix,297178.93838882446,0.020366085266694426,0.49491195994615556,0.9860175558329312,1.9799171719551087,0.09893588550388813,0.887051950097084,500.0,500.0,518.0,518.0,0.9206412434577942,0.7371924812212941,0.17132984830372114,200000.0,0.9070591050844649,0.7166711736072322,0.29559424619595986,200000.0,2.410159575117118,0.5253953315056422,0.7736428857813533,200000.0,2.1694815158843994,0.41552696808482725,0.7882943834503693,200000.0,2.4742302319059895,0.4644864190431395,0.7768002185391107,200000.0,3.7628330239567154,2.2356057995144605,0.06106884332004708,0.027879861964354036,0.030621710698070122,0.17635980071490295,0.003359139774453324,1.9364324315051882
scene0056_00,100.0,prefix,14719.407796859741,0.03206298798322678,0.6482436394691468,0.980960904553232,2.789488651752472,0.16335193172097207,1.784917106628418,100.0,100.0,518.0,518.0,1.411909580230713,0.6052018325863999,0.49967534709638234,200000.0,1.4341694239327945,0.5672691205035636,0.5042896958167166,200000.0,4.357710601498035,0.679915934624683,0.9999994970493727,200000.0,4.120441913604736,0.6439130572910339,1.0,200000.0,4.469361809661418,0.6823493569597949,1.0,200000.0,40.70354908628518,39.85537888286171,0.05062397022082945,0.028978974295533935,0.03109894704969193,0.12091420940261911,0.004137224360599751,4.373703679075789
scene0056_00,200.0,prefix,49350.75902938843,0.035712396204471586,0.6777290374040603,0.9741582663978989,3.0700458323955537,0.21962580259889364,1.9533795195817947,200.0,200.0,518.0,518.0,1.093584656715393,0.5679731607566507,0.36389405405591363,200000.0,1.0528108623083028,0.684205504908673,0.4126216023323641,200000.0,3.8104591432937838,0.5744936568424638,1.0,200000.0,3.053215265274048,0.4677946200571384,0.9993343748600783,200000.0,3.780610686707135,0.5347049696660282,1.0,200000.0,6.69461474957927,5.188651024861172,0.13068609377978677,0.0770508463735258,0.08336171083117187,0.15999080709353697,0.004897759999794478,3.417741218303365
scene0056_00,300.0,prefix,107721.36735916138,0.04148724937190612,0.6866091312964757,0.9697394254831202,3.1588172856966654,0.2674395754436652,2.1507146191596984,300.0,300.0,518.0,518.0,0.9785399436950684,0.44031990524552844,0.2840610806320094,200000.0,0.9195829066846843,0.42683250749843304,0.43450548776400755,200000.0,3.4149419981094695,0.5040025665043948,0.9999993225511237,200000.0,2.8308980464935303,0.4389095555575316,0.9975833932952661,200000.0,3.365156705288659,0.48196818412162357,0.9999986230647537,200000.0,15.008630845097413,12.841278538231718,0.14541790246650368,0.07418864428899531,0.08036501795148107,0.1822860952632507,0.005456176652935082,3.2971831503400577
scene0056_00,400.0,prefix,191449.7570991516,0.038808333955239506,0.6766428546607495,0.9745943235383776,3.079981359839439,0.2532293296977878,2.1131994411349297,400.0,400.0,518.0,518.0,0.9474011063575745,0.32032347636771674,0.25461674306865656,200000.0,0.9125633565009241,0.34519619188181316,0.4861561668595691,200000.0,3.258476894391605,0.43082975470304363,0.9999944202359047,200000.0,2.667527675628662,0.47223532717516836,0.9960788513492143,200000.0,3.1630199700802266,0.42505890693980536,0.9999804870625265,200000.0,14.958836937999564,11.93517221290081,0.19506126807145413,0.10087847746472715,0.10512112652023518,0.241611071755874,0.007911929697820664,2.942206987392763
scene0056_00,500.0,prefix,296055.8874607086,0.04122762683406472,0.6613753454685212,0.9720191704074631,2.937599355697632,0.25356997203826903,1.9919408993721008,500.0,500.0,518.0,518.0,0.8466085195541382,0.5142123815091453,0.20051681527913678,200000.0,0.8171448234951652,0.5654261724419439,0.5170166769756265,200000.0,3.154495074397728,0.37142225812538676,0.999982698621372,200000.0,2.620574712753296,0.4980284581222828,0.9953227325429411,200000.0,3.068769875123664,0.3653194818596442,0.9999266135008528,200000.0,21.59380730967424,14.831451014784179,0.2697311704878153,0.11316219158426764,0.12175376079867782,0.3511573500267134,0.011249131588625061,2.661729228956358
